yas,gelir,borc,kredi_gecmisi,etiket
2,49748,37795,0,0
25,148370,47598,0,0
11,105441,17916,0,0
90,40177,38084,0,0
64,123733,1570,1,1
55,81993,21499,1,1
20,124325,5136,0,1
19,50044,18628,0,0
25,72909,2159,0,1
10,71756,24485,1,0
2,68883,43808,0,0
65,86550,37287,1,1
35,50411,2337,1,1
57,76268,12388,1,1
94,4057,35601,1,0
42,32468,34117,1,0
90,84661,8085,1,1
14,131846,35692,1,0
81,95375,28800,0,0
55,79158,30422,1,1
2,136410,5662,0,0
39,31096,22820,1,0
6,95566,27291,1,0
99,41394,36269,1,0
22,90204,4996,0,1
28,68412,6196,0,1
34,71593,5683,1,1
56,80325,39548,0,0
85,87275,17543,0,1
1,95439,1169,1,0
54,63877,21754,0,0
15,63920,20366,0,0
29,92289,23362,1,1
8,36093,1941,1,0
7,119273,34677,0,0
20,98542,34608,0,0
72,119028,10474,1,1
93,139334,6172,1,0
78,144684,20765,1,1
92,33888,2496,1,0
93,78186,30448,1,0
49,44819,10468,1,1
56,28144,34421,1,0
53,138510,32479,0,1
64,127489,1379,0,1
17,130182,28123,0,0
44,98202,22078,1,1
49,24633,37805,1,0
97,16579,445,0,0
77,97726,4603,1,1
92,73462,31765,1,0
68,104913,17862,1,1
99,44332,29258,1,0
49,64886,44502,1,0
84,46291,32702,1,0
76,27797,18773,0,0
100,78842,24876,1,0
5,44306,11797,0,0
48,91924,10592,1,1
25,128104,15411,0,1
88,16404,36560,1,0
59,14657,24066,1,0
34,1633,37576,0,0
39,102456,29443,1,1
71,39732,15312,1,1
4,89693,46726,1,0
76,31357,17154,0,0
26,23821,25245,0,0
23,4185,37735,0,0
66,85407,43901,0,0
92,55213,26792,0,0
99,137137,46451,1,0
48,84940,44081,0,0
63,66055,17525,0,0
33,139750,41925,0,0
22,91142,31427,1,1
61,131659,9424,1,1
92,66325,49328,0,0
77,47549,25538,1,0
6,138619,38745,1,0
54,26406,25426,1,0
20,47543,21453,1,0
21,17369,16341,0,0
23,37381,33427,1,0
53,142657,44742,1,1
51,75741,10955,0,1
52,52097,40985,0,0
60,124596,10698,1,1
6,18479,41666,1,0
14,129347,41423,1,0
33,119460,24311,1,1
90,50702,45197,0,0
66,85370,36504,0,0
62,69980,45061,0,0
7,102509,42613,0,0
3,113696,1413,0,0
47,7309,41952,1,0
68,69810,15225,0,1
66,108821,38594,1,1
45,99252,6153,1,1
28,56817,44806,0,0
17,125545,42326,0,0
33,46192,25174,0,0
24,14166,23705,0,0
7,22638,47495,1,0
23,37669,48790,0,0
31,44169,703,1,1
75,99624,16717,0,1
36,146405,28075,1,1
36,85737,18310,0,1
81,33524,17301,1,0
7,6626,16064,1,0
2,132726,34042,0,0
55,111882,36782,1,1
18,85048,25827,1,1
78,50856,2679,0,1
